ID,Warehouse_block,Region,Manager,Cost_of_the_Product
8931,A,North,Alice,273
8932,B,East,Bob,257
8933,C,South,Carol,258
8934,F,Central,Eve,140
8935,D,West,David,268
8936,F,Central,Eve,279
8937,A,North,Alice,225
8938,B,East,Bob,296
8939,C,South,Carol,162
8940,F,Central,Eve,208
8941,D,West,David,185
8942,F,Central,Eve,270
8943,A,North,Alice,266
8944,B,East,Bob,148
8945,C,South,Carol,201
8946,F,Central,Eve,171
8947,D,West,David,236
8948,F,Central,Eve,220
8949,A,North,Alice,161
8950,B,East,Bob,241
8951,C,South,Carol,208
8952,F,Central,Eve,150
8953,D,West,David,233
8954,F,Central,Eve,98
8955,A,North,Alice,271
8956,B,East,Bob,247
8957,C,South,Carol,218
8958,F,Central,Eve,182
8959,D,West,David,261
8960,F,Central,Eve,167
8961,A,North,Alice,206
8962,B,East,Bob,257
8963,C,South,Carol,185
8964,F,Central,Eve,183
8965,D,West,David,185
8966,F,Central,Eve,178
8967,A,North,Alice,258
8968,B,East,Bob,238
8969,C,South,Carol,209
8970,F,Central,Eve,260
8971,D,West,David,247
8972,F,Central,Eve,261
8973,A,North,Alice,243
8974,B,East,Bob,160
8975,C,South,Carol,203
8976,F,Central,Eve,220
8977,D,West,David,233
8978,F,Central,Eve,101
8979,A,North,Alice,191
8980,B,East,Bob,265
8981,C,South,Carol,249
8982,F,Central,Eve,184
8983,D,West,David,182
8984,F,Central,Eve,198
8985,A,North,Alice,110
8986,B,East,Bob,268
8987,C,South,Carol,146
8988,F,Central,Eve,235
8989,D,West,David,270
8990,F,Central,Eve,174
8991,A,North,Alice,239
8992,B,East,Bob,236
8993,C,South,Carol,162
8994,F,Central,Eve,260
8995,D,West,David,217
8996,F,Central,Eve,232
8997,A,North,Alice,260
8998,B,East,Bob,184
8999,C,South,Carol,145
9000,F,Central,Eve,189
9001,D,West,David,150
9002,F,Central,Eve,200
9003,A,North,Alice,133
9004,B,East,Bob,260
9005,C,South,Carol,195
9006,F,Central,Eve,245
9007,D,West,David,166
9008,F,Central,Eve,245
9009,A,North,Alice,130
9010,B,East,Bob,204
9011,C,South,Carol,210
9012,F,Central,Eve,264
9013,D,West,David,141
9014,F,Central,Eve,162
9015,A,North,Alice,137
9016,B,East,Bob,141
9017,C,South,Carol,127
9018,F,Central,Eve,270
9019,D,West,David,185
9020,F,Central,Eve,241
9021,A,North,Alice,124
9022,B,East,Bob,228
9023,C,South,Carol,140
9024,F,Central,Eve,192
9025,D,West,David,253
9026,F,Central,Eve,287
9027,A,North,Alice,162
9028,B,East,Bob,156
9029,C,South,Carol,187
9030,F,Central,Eve,171
9031,D,West,David,240
9032,F,Central,Eve,250
9033,A,North,Alice,180
9034,B,East,Bob,242
9035,C,South,Carol,162
9036,F,Central,Eve,210
9037,D,West,David,189
9038,F,Central,Eve,187
9039,A,North,Alice,179
9040,B,East,Bob,199
9041,C,South,Carol,158
9042,F,Central,Eve,181
9043,D,West,David,238
9044,F,Central,Eve,225
9045,A,North,Alice,172
9046,B,East,Bob,199
9047,C,South,Carol,248
9048,F,Central,Eve,226
9049,D,West,David,177
9050,F,Central,Eve,238
9051,A,North,Alice,161
9052,B,East,Bob,271
9053,C,South,Carol,254
9054,F,Central,Eve,238
9055,D,West,David,169
9056,F,Central,Eve,168
9057,A,North,Alice,243
9058,B,East,Bob,195
9059,C,South,Carol,227
9060,F,Central,Eve,199
9061,D,West,David,160
9062,F,Central,Eve,160
9063,A,North,Alice,251
9064,B,East,Bob,225
9065,C,South,Carol,260
9066,F,Central,Eve,263
9067,D,West,David,196
9068,F,Central,Eve,184
9069,A,North,Alice,231
9070,B,East,Bob,153
9071,C,South,Carol,173
9072,F,Central,Eve,159
9073,D,West,David,137
9074,F,Central,Eve,249
9075,A,North,Alice,247
9076,B,East,Bob,205
9077,C,South,Carol,209
9078,F,Central,Eve,247
9079,D,West,David,225
9080,F,Central,Eve,150
9081,A,North,Alice,210
9082,B,East,Bob,247
9083,C,South,Carol,167
9084,F,Central,Eve,233
9085,D,West,David,204
9086,F,Central,Eve,140
9087,A,North,Alice,218
9088,B,East,Bob,250
9089,C,South,Carol,225
9090,F,Central,Eve,308
9091,D,West,David,256
9092,F,Central,Eve,251
9093,A,North,Alice,270
9094,B,East,Bob,289
9095,C,South,Carol,253
9096,F,Central,Eve,305
9097,D,West,David,219
9098,F,Central,Eve,231
9099,A,North,Alice,298
9100,B,East,Bob,282
9101,C,South,Carol,240
9102,F,Central,Eve,223
9103,D,West,David,226
9104,F,Central,Eve,253
9105,A,North,Alice,249
9106,B,East,Bob,294
9107,C,South,Carol,263
9108,F,Central,Eve,196
9109,D,West,David,184
9110,F,Central,Eve,231
9111,A,North,Alice,153
9112,B,East,Bob,173
9113,C,South,Carol,159
9114,F,Central,Eve,137
9115,D,West,David,249
9116,F,Central,Eve,247
9117,A,North,Alice,205
9118,B,East,Bob,209
9119,C,South,Carol,247
9120,F,Central,Eve,225
9121,D,West,David,150
9122,F,Central,Eve,210
9123,A,North,Alice,247
9124,B,East,Bob,167
9125,C,South,Carol,233
9126,F,Central,Eve,204
9127,D,West,David,140
9128,F,Central,Eve,218
9129,A,North,Alice,250
9130,B,East,Bob,225
9131,C,South,Carol,308
9132,F,Central,Eve,256
9133,D,West,David,251
9134,F,Central,Eve,270
9135,A,North,Alice,289
9136,B,East,Bob,253
9137,C,South,Carol,305
9138,F,Central,Eve,219
9139,D,West,David,231
9140,F,Central,Eve,298
9141,A,North,Alice,282
9142,B,East,Bob,240
9143,C,South,Carol,223
9144,F,Central,Eve,140
9145,D,West,David,268
9146,F,Central,Eve,279
9147,A,North,Alice,225
9148,B,East,Bob,296
9149,C,South,Carol,162
9150,F,Central,Eve,255
9151,D,West,David,255
9152,F,Central,Eve,286
9153,A,North,Alice,267
9154,B,East,Bob,226
9155,C,South,Carol,285
9156,F,Central,Eve,276
9157,D,West,David,257
9158,F,Central,Eve,287
9159,A,North,Alice,283
9160,B,East,Bob,309
9161,C,South,Carol,274
9162,F,Central,Eve,244
9163,D,West,David,222
9164,F,Central,Eve,264
9165,A,North,Alice,232
9166,B,East,Bob,227
9167,C,South,Carol,294
9168,F,Central,Eve,260
9169,D,West,David,260
9170,F,Central,Eve,277
9171,A,North,Alice,257
9172,B,East,Bob,271
9173,C,South,Carol,308
9174,F,Central,Eve,281
9175,D,West,David,307
9176,F,Central,Eve,224
9177,A,North,Alice,233
9178,B,East,Bob,179
9179,C,South,Carol,267
9180,F,Central,Eve,218
9181,D,West,David,302
9182,F,Central,Eve,247
9183,A,North,Alice,266
9184,B,East,Bob,247
9185,C,South,Carol,219
9186,F,Central,Eve,287
9187,D,West,David,297
9188,F,Central,Eve,273
9189,A,North,Alice,219
9190,B,East,Bob,232
9191,C,South,Carol,264
9192,F,Central,Eve,266
9193,D,West,David,280
9194,F,Central,Eve,264
9195,A,North,Alice,258
9196,B,East,Bob,236
9197,C,South,Carol,262
9198,F,Central,Eve,255
9199,D,West,David,267
9200,F,Central,Eve,240
9201,A,North,Alice,215
9202,B,East,Bob,252
9203,C,South,Carol,136
9204,F,Central,Eve,225
9205,D,West,David,187
9206,F,Central,Eve,144
9207,A,North,Alice,226
9208,B,East,Bob,229
9209,C,South,Carol,255
9210,F,Central,Eve,227
9211,D,West,David,248
9212,F,Central,Eve,151
9213,A,North,Alice,188
9214,B,East,Bob,160
9215,C,South,Carol,156
9216,F,Central,Eve,162
9217,D,West,David,270
9218,F,Central,Eve,200
9219,A,North,Alice,224
9220,B,East,Bob,146
9221,C,South,Carol,156
9222,F,Central,Eve,235
9223,D,West,David,231
9224,F,Central,Eve,141
9225,A,North,Alice,178
9226,B,East,Bob,244
9227,C,South,Carol,247
9228,F,Central,Eve,132
9229,D,West,David,190
9230,F,Central,Eve,113
9231,A,North,Alice,253
9232,B,East,Bob,235
9233,C,South,Carol,264
9234,F,Central,Eve,286
9235,D,West,David,141
9236,F,Central,Eve,243
9237,A,North,Alice,209
9238,B,East,Bob,246
9239,C,South,Carol,257
9240,F,Central,Eve,217
9241,D,West,David,246
9242,F,Central,Eve,166
9243,A,North,Alice,183
9244,B,East,Bob,136
9245,C,South,Carol,224
9246,F,Central,Eve,174
9247,D,West,David,209
9248,F,Central,Eve,256
9249,A,North,Alice,231
9250,B,East,Bob,228
9251,C,South,Carol,198
9252,F,Central,Eve,223
9253,D,West,David,257
9254,F,Central,Eve,265
9255,A,North,Alice,258
9256,B,East,Bob,272
9257,C,South,Carol,273
9258,F,Central,Eve,287
9259,D,West,David,176
9260,F,Central,Eve,136
9261,A,North,Alice,204
9262,B,East,Bob,213
9263,C,South,Carol,160
9264,F,Central,Eve,148
9265,D,West,David,255
9266,F,Central,Eve,212
9267,A,North,Alice,217
9268,B,East,Bob,145
9269,C,South,Carol,170
9270,F,Central,Eve,244
9271,D,West,David,151
9272,F,Central,Eve,202
9273,A,North,Alice,195
9274,B,East,Bob,150
9275,C,South,Carol,225
9276,F,Central,Eve,142
9277,D,West,David,262
9278,F,Central,Eve,251
9279,A,North,Alice,221
9280,B,East,Bob,202
9281,C,South,Carol,216
9282,F,Central,Eve,239
9283,D,West,David,192
9284,F,Central,Eve,185
9285,A,North,Alice,235
9286,B,East,Bob,253
9287,C,South,Carol,180
9288,F,Central,Eve,150
9289,D,West,David,168
9290,F,Central,Eve,274
9291,A,North,Alice,179
9292,B,East,Bob,237
9293,C,South,Carol,160
9294,F,Central,Eve,225
9295,D,West,David,217
9296,F,Central,Eve,263
9297,A,North,Alice,128
9298,B,East,Bob,167
9299,C,South,Carol,221
9300,F,Central,Eve,173
9301,D,West,David,149
9302,F,Central,Eve,234
9303,A,North,Alice,237
9304,B,East,Bob,269
9305,C,South,Carol,182
9306,F,Central,Eve,199
9307,D,West,David,264
9308,F,Central,Eve,167
9309,A,North,Alice,155
9310,B,East,Bob,274
9311,C,South,Carol,213
9312,F,Central,Eve,204
9313,D,West,David,259
9314,F,Central,Eve,174
9315,A,North,Alice,230
9316,B,East,Bob,260
9317,C,South,Carol,176
9318,F,Central,Eve,217
9319,D,West,David,219
9320,F,Central,Eve,189
9321,A,North,Alice,252
9322,B,East,Bob,189
9323,C,South,Carol,159
9324,F,Central,Eve,262
9325,D,West,David,191
9326,F,Central,Eve,271
9327,A,North,Alice,196
9328,B,East,Bob,261
9329,C,South,Carol,233
9330,F,Central,Eve,235
9331,D,West,David,154
9332,F,Central,Eve,167
9333,A,North,Alice,144
9334,B,East,Bob,194
9335,C,South,Carol,242
9336,F,Central,Eve,144
9337,D,West,David,157
9338,F,Central,Eve,184
9339,A,North,Alice,151
9340,B,East,Bob,175
9341,C,South,Carol,177
9342,F,Central,Eve,141
9343,D,West,David,210
9344,F,Central,Eve,224
9345,A,North,Alice,253
9346,B,East,Bob,157
9347,C,South,Carol,172
9348,F,Central,Eve,193
9349,D,West,David,255
9350,F,Central,Eve,255
9351,A,North,Alice,286
9352,B,East,Bob,267
9353,C,South,Carol,226
9354,F,Central,Eve,285
9355,D,West,David,276
9356,F,Central,Eve,257
9357,A,North,Alice,287
9358,B,East,Bob,283
9359,C,South,Carol,309
9360,F,Central,Eve,274
9361,D,West,David,244
9362,F,Central,Eve,222
9363,A,North,Alice,264
9364,B,East,Bob,232
9365,C,South,Carol,217
9366,F,Central,Eve,219
9367,D,West,David,189
9368,F,Central,Eve,252
9369,A,North,Alice,189
9370,B,East,Bob,159
9371,C,South,Carol,262
9372,F,Central,Eve,191
9373,D,West,David,271
9374,F,Central,Eve,196
9375,A,North,Alice,261
9376,B,East,Bob,233
9377,C,South,Carol,235
9378,F,Central,Eve,154
9379,D,West,David,167
9380,F,Central,Eve,144
9381,A,North,Alice,194
9382,B,East,Bob,242
9383,C,South,Carol,144
9384,F,Central,Eve,157
9385,D,West,David,184
9386,F,Central,Eve,151
9387,A,North,Alice,175
9388,B,East,Bob,177
9389,C,South,Carol,141
9390,F,Central,Eve,210
9391,D,West,David,224
9392,F,Central,Eve,253
9393,A,North,Alice,157
9394,B,East,Bob,172
9395,C,South,Carol,193
9396,F,Central,Eve,255
9397,D,West,David,255
9398,F,Central,Eve,286
9399,A,North,Alice,267
9400,B,East,Bob,226
9401,C,South,Carol,285
9402,F,Central,Eve,276
9403,D,West,David,257
9404,F,Central,Eve,287
9405,A,North,Alice,283
9406,B,East,Bob,309
9407,C,South,Carol,274
9408,F,Central,Eve,244
9409,D,West,David,222
9410,F,Central,Eve,264
9411,A,North,Alice,258
9412,B,East,Bob,236
9413,C,South,Carol,304
9414,F,Central,Eve,244
9415,D,West,David,301
9416,F,Central,Eve,275
9417,A,North,Alice,236
9418,B,East,Bob,286
9419,C,South,Carol,238
9420,F,Central,Eve,300
9421,D,West,David,292
9422,F,Central,Eve,172
9423,A,North,Alice,181
9424,B,East,Bob,289
9425,C,South,Carol,256
9426,F,Central,Eve,251
9427,D,West,David,245
9428,F,Central,Eve,266
9429,A,North,Alice,220
9430,B,East,Bob,274
9431,C,South,Carol,301
9432,F,Central,Eve,285
9433,D,West,David,271
9434,F,Central,Eve,241
9435,A,North,Alice,146
9436,B,East,Bob,256
9437,C,South,Carol,235
9438,F,Central,Eve,275
9439,D,West,David,205
9440,F,Central,Eve,244
9441,A,North,Alice,269
9442,B,East,Bob,238
9443,C,South,Carol,217
9444,F,Central,Eve,258
9445,D,West,David,269
9446,F,Central,Eve,259
9447,A,North,Alice,260
9448,B,East,Bob,227
9449,C,South,Carol,223
9450,F,Central,Eve,221
9451,D,West,David,296
9452,F,Central,Eve,228
9453,A,North,Alice,275
9454,B,East,Bob,230
9455,C,South,Carol,241
9456,F,Central,Eve,270
9457,D,West,David,264
9458,F,Central,Eve,260
9459,A,North,Alice,271
9460,B,East,Bob,286
9461,C,South,Carol,279
9462,F,Central,Eve,271
9463,D,West,David,206
9464,F,Central,Eve,205
9465,A,North,Alice,233
9466,B,East,Bob,207
9467,C,South,Carol,174
9468,F,Central,Eve,191
9469,D,West,David,156
9470,F,Central,Eve,137
9471,A,North,Alice,251
9472,B,East,Bob,194
9473,C,South,Carol,141
9474,F,Central,Eve,137
9475,D,West,David,221
9476,F,Central,Eve,270
9477,A,North,Alice,133
9478,B,East,Bob,181
9479,C,South,Carol,147
9480,F,Central,Eve,250
9481,D,West,David,184
9482,F,Central,Eve,234
9483,A,North,Alice,126
9484,B,East,Bob,241
9485,C,South,Carol,218
9486,F,Central,Eve,98
9487,D,West,David,211
9488,F,Central,Eve,216
9489,A,North,Alice,203
9490,B,East,Bob,266
9491,C,South,Carol,155
9492,F,Central,Eve,156
9493,D,West,David,169
9494,F,Central,Eve,241
9495,A,North,Alice,199
9496,B,East,Bob,184
9497,C,South,Carol,221
9498,F,Central,Eve,258
9499,D,West,David,193
9500,F,Central,Eve,156
9501,A,North,Alice,201
9502,B,East,Bob,171
9503,C,South,Carol,193
9504,F,Central,Eve,254
9505,D,West,David,251
9506,F,Central,Eve,171
9507,A,North,Alice,243
9508,B,East,Bob,253
9509,C,South,Carol,137
9510,F,Central,Eve,149
9511,D,West,David,183
9512,F,Central,Eve,171
9513,A,North,Alice,102
9514,B,East,Bob,249
9515,C,South,Carol,255
9516,F,Central,Eve,150
9517,D,West,David,169
9518,F,Central,Eve,208
9519,A,North,Alice,154
9520,B,East,Bob,101
9521,C,South,Carol,203
9522,F,Central,Eve,234
9523,D,West,David,133
9524,F,Central,Eve,222
9525,A,North,Alice,258
9526,B,East,Bob,251
9527,C,South,Carol,241
9528,F,Central,Eve,164
9529,D,West,David,273
9530,F,Central,Eve,266
9531,A,North,Alice,144
9532,B,East,Bob,208
9533,C,South,Carol,178
9534,F,Central,Eve,246
9535,D,West,David,131
9536,F,Central,Eve,156
9537,A,North,Alice,222
9538,B,East,Bob,275
9539,C,South,Carol,212
9540,F,Central,Eve,275
9541,D,West,David,189
9542,F,Central,Eve,171
9543,A,North,Alice,242
9544,B,East,Bob,247
9545,C,South,Carol,149
9546,F,Central,Eve,190
9547,D,West,David,189
9548,F,Central,Eve,153
9549,A,North,Alice,173
9550,B,East,Bob,117
9551,C,South,Carol,204
9552,F,Central,Eve,274
9553,D,West,David,276
9554,F,Central,Eve,189
9555,A,North,Alice,204
9556,B,East,Bob,229
9557,C,South,Carol,257
9558,F,Central,Eve,184
9559,D,West,David,157
9560,F,Central,Eve,173
9561,A,North,Alice,236
9562,B,East,Bob,234
9563,C,South,Carol,237
9564,F,Central,Eve,191
9565,D,West,David,222
9566,F,Central,Eve,153
9567,A,North,Alice,224
9568,B,East,Bob,201
9569,C,South,Carol,169
9570,F,Central,Eve,133
9571,D,West,David,146
9572,F,Central,Eve,230
9573,A,North,Alice,195
9574,B,East,Bob,204
9575,C,South,Carol,191
9576,F,Central,Eve,199
9577,D,West,David,192
9578,F,Central,Eve,187
9579,A,North,Alice,236
9580,B,East,Bob,176
9581,C,South,Carol,239
9582,F,Central,Eve,280
9583,D,West,David,184
9584,F,Central,Eve,145
9585,A,North,Alice,248
9586,B,East,Bob,184
9587,C,South,Carol,265
9588,F,Central,Eve,170
9589,D,West,David,181
9590,F,Central,Eve,166
9591,A,North,Alice,137
9592,B,East,Bob,173
9593,C,South,Carol,249
9594,F,Central,Eve,205
9595,D,West,David,251
9596,F,Central,Eve,249
9597,A,North,Alice,177
9598,B,East,Bob,268
9599,C,South,Carol,215
9600,F,Central,Eve,149
9601,D,West,David,132
9602,F,Central,Eve,246
9603,A,North,Alice,155
9604,B,East,Bob,206
9605,C,South,Carol,134
9606,F,Central,Eve,255
9607,D,West,David,168
9608,F,Central,Eve,140
9609,A,North,Alice,191
9610,B,East,Bob,231
9611,C,South,Carol,264
9612,F,Central,Eve,137
9613,D,West,David,170
9614,F,Central,Eve,256
9615,A,North,Alice,176
9616,B,East,Bob,198
9617,C,South,Carol,272
9618,F,Central,Eve,149
9619,D,West,David,192
9620,F,Central,Eve,117
9621,A,North,Alice,180
9622,B,East,Bob,158
9623,C,South,Carol,266
9624,F,Central,Eve,304
9625,D,West,David,244
9626,F,Central,Eve,301
9627,A,North,Alice,275
9628,B,East,Bob,236
9629,C,South,Carol,286
9630,F,Central,Eve,238
9631,D,West,David,300
9632,F,Central,Eve,292
9633,A,North,Alice,172
9634,B,East,Bob,181
9635,C,South,Carol,289
9636,F,Central,Eve,256
9637,D,West,David,251
9638,F,Central,Eve,245
9639,A,North,Alice,140
9640,B,East,Bob,191
9641,C,South,Carol,231
9642,F,Central,Eve,264
9643,D,West,David,137
9644,F,Central,Eve,170
9645,A,North,Alice,256
9646,B,East,Bob,176
9647,C,South,Carol,198
9648,F,Central,Eve,272
9649,D,West,David,149
9650,F,Central,Eve,192
9651,A,North,Alice,117
9652,B,East,Bob,180
9653,C,South,Carol,158
9654,F,Central,Eve,266
9655,D,West,David,304
9656,F,Central,Eve,244
9657,A,North,Alice,301
9658,B,East,Bob,275
9659,C,South,Carol,236
9660,F,Central,Eve,286
9661,D,West,David,238
9662,F,Central,Eve,300
9663,A,North,Alice,292
9664,B,East,Bob,172
9665,C,South,Carol,181
9666,F,Central,Eve,289
9667,D,West,David,256
9668,F,Central,Eve,251
9669,A,North,Alice,279
9670,B,East,Bob,271
9671,C,South,Carol,258
9672,F,Central,Eve,245
9673,D,West,David,296
9674,F,Central,Eve,267
9675,A,North,Alice,268
9676,B,East,Bob,277
9677,C,South,Carol,259
9678,F,Central,Eve,275
9679,D,West,David,298
9680,F,Central,Eve,243
9681,A,North,Alice,255
9682,B,East,Bob,232
9683,C,South,Carol,254
9684,F,Central,Eve,234
9685,D,West,David,303
9686,F,Central,Eve,262
9687,A,North,Alice,218
9688,B,East,Bob,241
9689,C,South,Carol,267
9690,F,Central,Eve,301
9691,D,West,David,221
9692,F,Central,Eve,275
9693,A,North,Alice,292
9694,B,East,Bob,245
9695,C,South,Carol,301
9696,F,Central,Eve,245
9697,D,West,David,288
9698,F,Central,Eve,274
9699,A,North,Alice,231
9700,B,East,Bob,310
9701,C,South,Carol,256
9702,F,Central,Eve,281
9703,D,West,David,264
9704,F,Central,Eve,274
9705,A,North,Alice,272
9706,B,East,Bob,257
9707,C,South,Carol,310
9708,F,Central,Eve,249
9709,D,West,David,244
9710,F,Central,Eve,219
9711,A,North,Alice,264
9712,B,East,Bob,217
9713,C,South,Carol,280
9714,F,Central,Eve,247
9715,D,West,David,270
9716,F,Central,Eve,248
9717,A,North,Alice,167
9718,B,East,Bob,268
9719,C,South,Carol,257
9720,F,Central,Eve,152
9721,D,West,David,147
9722,F,Central,Eve,179
9723,A,North,Alice,201
9724,B,East,Bob,140
9725,C,South,Carol,139
9726,F,Central,Eve,152
9727,D,West,David,171
9728,F,Central,Eve,97
9729,A,North,Alice,257
9730,B,East,Bob,154
9731,C,South,Carol,138
9732,F,Central,Eve,173
9733,D,West,David,252
9734,F,Central,Eve,251
9735,A,North,Alice,223
9736,B,East,Bob,261
9737,C,South,Carol,111
9738,F,Central,Eve,210
9739,D,West,David,161
9740,F,Central,Eve,143
9741,A,North,Alice,170
9742,B,East,Bob,151
9743,C,South,Carol,154
9744,F,Central,Eve,146
9745,D,West,David,238
9746,F,Central,Eve,264
9747,A,North,Alice,196
9748,B,East,Bob,164
9749,C,South,Carol,144
9750,F,Central,Eve,147
9751,D,West,David,181
9752,F,Central,Eve,212
9753,A,North,Alice,258
9754,B,East,Bob,202
9755,C,South,Carol,143
9756,F,Central,Eve,175
9757,D,West,David,135
9758,F,Central,Eve,249
9759,A,North,Alice,202
9760,B,East,Bob,135
9761,C,South,Carol,268
9762,F,Central,Eve,103
9763,D,West,David,225
9764,F,Central,Eve,211
9765,A,North,Alice,161
9766,B,East,Bob,155
9767,C,South,Carol,182
9768,F,Central,Eve,124
9769,D,West,David,167
9770,F,Central,Eve,246
9771,A,North,Alice,196
9772,B,East,Bob,211
9773,C,South,Carol,234
9774,F,Central,Eve,174
9775,D,West,David,190
9776,F,Central,Eve,255
9777,A,North,Alice,192
9778,B,East,Bob,174
9779,C,South,Carol,263
9780,F,Central,Eve,251
9781,D,West,David,223
9782,F,Central,Eve,168
9783,A,North,Alice,213
9784,B,East,Bob,99
9785,C,South,Carol,267
9786,F,Central,Eve,183
9787,D,West,David,180
9788,F,Central,Eve,206
9789,A,North,Alice,216
9790,B,East,Bob,167
9791,C,South,Carol,162
9792,F,Central,Eve,250
9793,D,West,David,245
9794,F,Central,Eve,226
9795,A,North,Alice,226
9796,B,East,Bob,222
9797,C,South,Carol,177
9798,F,Central,Eve,223
9799,D,West,David,210
9800,F,Central,Eve,170
9801,A,North,Alice,135
9802,B,East,Bob,192
9803,C,South,Carol,204
9804,F,Central,Eve,244
9805,D,West,David,255
9806,F,Central,Eve,160
9807,A,North,Alice,150
9808,B,East,Bob,242
9809,C,South,Carol,240
9810,F,Central,Eve,246
9811,D,West,David,232
9812,F,Central,Eve,274
9813,A,North,Alice,253
9814,B,East,Bob,229
9815,C,South,Carol,131
9816,F,Central,Eve,125
9817,D,West,David,201
9818,F,Central,Eve,207
9819,A,North,Alice,144
9820,B,East,Bob,109
9821,C,South,Carol,161
9822,F,Central,Eve,151
9823,D,West,David,149
9824,F,Central,Eve,239
9825,A,North,Alice,287
9826,B,East,Bob,132
9827,C,South,Carol,165
9828,F,Central,Eve,143
9829,D,West,David,262
9830,F,Central,Eve,201
9831,A,North,Alice,213
9832,B,East,Bob,269
9833,C,South,Carol,217
9834,F,Central,Eve,133
9835,D,West,David,248
9836,F,Central,Eve,244
9837,A,North,Alice,197
9838,B,East,Bob,268
9839,C,South,Carol,203
9840,F,Central,Eve,224
9841,D,West,David,212
9842,F,Central,Eve,208
9843,A,North,Alice,155
9844,B,East,Bob,260
9845,C,South,Carol,174
9846,F,Central,Eve,161
9847,D,West,David,246
9848,F,Central,Eve,173
9849,A,North,Alice,175
9850,B,East,Bob,243
9851,C,South,Carol,122
9852,F,Central,Eve,219
9853,D,West,David,217
9854,F,Central,Eve,250
9855,A,North,Alice,274
9856,B,East,Bob,260
9857,C,South,Carol,185
9858,F,Central,Eve,270
9859,D,West,David,166
9860,F,Central,Eve,160
9861,A,North,Alice,247
9862,B,East,Bob,272
9863,C,South,Carol,171
9864,F,Central,Eve,211
9865,D,West,David,271
9866,F,Central,Eve,155
9867,A,North,Alice,220
9868,B,East,Bob,220
9869,C,South,Carol,285
9870,F,Central,Eve,109
9871,D,West,David,194
9872,F,Central,Eve,214
9873,A,North,Alice,161
9874,B,East,Bob,202
9875,C,South,Carol,179
9876,F,Central,Eve,137
9877,D,West,David,173
9878,F,Central,Eve,243
9879,A,North,Alice,258
9880,B,East,Bob,245
9881,C,South,Carol,296
9882,F,Central,Eve,267
9883,D,West,David,268
9884,F,Central,Eve,277
9885,A,North,Alice,259
9886,B,East,Bob,275
9887,C,South,Carol,298
9888,F,Central,Eve,243
9889,D,West,David,255
9890,F,Central,Eve,232
9891,A,North,Alice,247
9892,B,East,Bob,272
9893,C,South,Carol,171
9894,F,Central,Eve,211
9895,D,West,David,271
9896,F,Central,Eve,155
9897,A,North,Alice,220
9898,B,East,Bob,220
9899,C,South,Carol,285
9900,F,Central,Eve,109
9901,D,West,David,194
9902,F,Central,Eve,214
9903,A,North,Alice,161
9904,B,East,Bob,202
9905,C,South,Carol,179
9906,F,Central,Eve,137
9907,D,West,David,173
9908,F,Central,Eve,243
9909,A,North,Alice,258
9910,B,East,Bob,245
9911,C,South,Carol,296
9912,F,Central,Eve,267
9913,D,West,David,268
9914,F,Central,Eve,277
9915,A,North,Alice,259
9916,B,East,Bob,275
9917,C,South,Carol,298
9918,F,Central,Eve,243
9919,D,West,David,280
9920,F,Central,Eve,277
9921,A,North,Alice,284
9922,B,East,Bob,258
9923,C,South,Carol,254
9924,F,Central,Eve,263
9925,D,West,David,267
9926,F,Central,Eve,247
9927,A,North,Alice,233
9928,B,East,Bob,254
9929,C,South,Carol,289
9930,F,Central,Eve,282
9931,D,West,David,243
9932,F,Central,Eve,243
9933,A,North,Alice,228
9934,B,East,Bob,235
9935,C,South,Carol,274
9936,F,Central,Eve,254
9937,D,West,David,251
9938,F,Central,Eve,310
9939,A,North,Alice,288
9940,B,East,Bob,218
9941,C,South,Carol,251
9942,F,Central,Eve,263
9943,D,West,David,266
9944,F,Central,Eve,307
9945,A,North,Alice,268
9946,B,East,Bob,157
9947,C,South,Carol,262
9948,F,Central,Eve,245
9949,D,West,David,217
9950,F,Central,Eve,259
9951,A,North,Alice,238
9952,B,East,Bob,288
9953,C,South,Carol,284
9954,F,Central,Eve,243
9955,D,West,David,260
9956,F,Central,Eve,264
9957,A,North,Alice,269
9958,B,East,Bob,282
9959,C,South,Carol,250
9960,F,Central,Eve,230
9961,D,West,David,254
9962,F,Central,Eve,256
9963,A,North,Alice,255
9964,B,East,Bob,306
9965,C,South,Carol,189
9966,F,Central,Eve,280
9967,D,West,David,310
9968,F,Central,Eve,266
9969,A,North,Alice,196
9970,B,East,Bob,198
9971,C,South,Carol,163
9972,F,Central,Eve,137
9973,D,West,David,167
9974,F,Central,Eve,115
9975,A,North,Alice,192
9976,B,East,Bob,238
9977,C,South,Carol,142
9978,F,Central,Eve,256
9979,D,West,David,208
9980,F,Central,Eve,257
9981,A,North,Alice,227
9982,B,East,Bob,219
9983,C,South,Carol,202
9984,F,Central,Eve,158
9985,D,West,David,235
9986,F,Central,Eve,233
9987,A,North,Alice,244
9988,B,East,Bob,244
9989,C,South,Carol,148
9990,F,Central,Eve,171
9991,D,West,David,197
9992,F,Central,Eve,256
9993,A,North,Alice,223
9994,B,East,Bob,271
9995,C,South,Carol,135
9996,F,Central,Eve,272
9997,D,West,David,265
9998,F,Central,Eve,180
9999,A,North,Alice,187
10000,B,East,Bob,158
10001,C,South,Carol,234
10002,F,Central,Eve,224
10003,D,West,David,153
10004,F,Central,Eve,125
